StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,cpu_mili_avg_telemetry_mixer,cpu_mili_max_telemetry_mixer,mem_MB_max_telemetry_mixer,cpu_mili_avg_fortioserver_deployment_proxy,cpu_mili_max_fortioserver_deployment_proxy,mem_MB_max_fortioserver_deployment_proxy,cpu_mili_avg_ingressgateway_proxy,cpu_mili_max_ingressgateway_proxy,mem_MB_max_ingressgateway_proxy
2020-01-21T01:30:55.659612714Z,240,b4d28171_qps_1000_c_64_1024_none_base,64,1000,863,2776,4138,1,2,60,5,9,109,34,49,246
2020-01-21T01:26:54.428602507Z,240,b4d28171_qps_1000_c_64_1024_none_both,64,1000,7048,8815,9975,1,4,60,131,287,109,31,40,246
2020-01-21T01:22:52.29604999Z,240,b4d28171_qps_1000_c_64_1024_none_serveronly,64,1000,2982,4457,5915,1,2,60,101,206,109,32,43,246
2020-01-21T01:18:51.131775742Z,240,b4d28171_qps_1000_c_32_1024_none_base,32,1000,665,1659,2951,1,3,60,5,9,109,28,36,246
2020-01-21T01:14:49.912687713Z,240,b4d28171_qps_1000_c_32_1024_none_both,32,1000,3579,4504,5689,1,4,60,154,217,109,29,34,246
2020-01-21T01:10:47.874271625Z,240,b4d28171_qps_1000_c_32_1024_none_serveronly,32,1000,2087,2841,4000,0,2,60,107,202,109,32,37,246
2020-01-21T01:06:46.78329006Z,240,b4d28171_qps_1000_c_16_1024_none_base,16,1000,500,693,1540,0,3,60,5,7,109,30,50,246
2020-01-21T01:02:45.437598366Z,240,b4d28171_qps_1000_c_16_1024_none_both,16,1000,2221,2808,3363,1,2,60,167,311,109,30,42,246
2020-01-21T00:58:43.389595151Z,240,b4d28171_qps_1000_c_16_1024_none_serveronly,16,1000,1194,1647,2304,1,3,60,110,252,108,32,45,245
2020-01-21T00:54:42.317907592Z,240,b4d28171_qps_1000_c_8_1024_none_base,8,1000,369,484,770,1,2,60,5,13,108,28,34,245
2020-01-21T00:50:40.845714075Z,240,b4d28171_qps_1000_c_8_1024_none_both,8,1000,1299,1644,1980,0,2,60,181,227,108,31,37,245
2020-01-21T00:46:38.933304953Z,240,b4d28171_qps_1000_c_8_1024_none_serveronly,8,1000,800,1118,1457,1,2,60,138,222,108,30,40,245
2020-01-21T00:42:37.682143318Z,240,b4d28171_qps_1000_c_4_1024_none_base,4,1000,339,440,675,1,4,60,5,8,108,28,45,245
2020-01-21T00:38:34.71714883Z,240,b4d28171_qps_1000_c_4_1024_none_both,4,1000,966,1224,1487,1,2,60,228,420,108,28,35,245
2020-01-21T00:34:32.727223767Z,240,b4d28171_qps_1000_c_4_1024_none_serveronly,4,1000,601,786,996,1,3,60,154,284,108,30,40,245
2020-01-21T00:30:31.591701327Z,240,b4d28171_qps_1000_c_2_1024_none_base,2,1000,279,358,583,1,3,60,5,12,108,29,34,245
2020-01-21T00:26:30.494507495Z,240,b4d28171_qps_1000_c_2_1024_none_both,2,1000,764,899,1185,1,2,60,229,500,108,28,35,245
2020-01-21T00:22:28.566142751Z,240,b4d28171_qps_1000_c_2_1024_none_serveronly,2,1000,520,697,880,1,2,60,154,204,108,32,40,245
2020-01-21T00:18:27.463577994Z,240,b4d28171_qps_1000_c_1_1024_none_base,1,1000,236,290,348,1,4,60,4,7,108,32,41,245
2020-01-21T00:14:26.394737241Z,240,b4d28171_qps_1000_c_1_1024_none_both,1,1000,685,799,959,1,5,60,235,396,108,33,50,245
2020-01-21T00:10:24.381905791Z,240,b4d28171_qps_1000_c_1_1024_none_serveronly,1,1000,432,527,648,1,2,60,204,289,108,33,44,245
2020-01-20T22:38:29.075742114Z,240,18e45ee3_qps_1000_c_64_1024_v2-nullvm_base,64,1000,869,2759,4311,1,2,60,4,6,106,34,45,245
2020-01-20T22:34:27.861758789Z,240,18e45ee3_qps_1000_c_64_1024_v2-nullvm_both,64,1000,8185,10851,12373,1,2,60,176,235,106,34,41,245
2020-01-20T22:30:25.267231278Z,240,18e45ee3_qps_1000_c_64_1024_v2-nullvm_serveronly,64,1000,4232,5733,7012,1,6,60,136,193,106,33,42,245
2020-01-20T22:26:24.102675025Z,240,18e45ee3_qps_1000_c_32_1024_v2-nullvm_base,32,1000,673,1694,2977,1,5,60,4,7,105,34,57,245
2020-01-20T22:22:22.947383396Z,240,18e45ee3_qps_1000_c_32_1024_v2-nullvm_both,32,1000,4599,5670,6538,1,4,60,203,288,105,32,44,245
2020-01-20T22:18:20.690795618Z,240,18e45ee3_qps_1000_c_32_1024_v2-nullvm_serveronly,32,1000,2510,3390,4517,1,3,60,159,210,104,34,41,245
2020-01-20T22:14:19.597325161Z,240,18e45ee3_qps_1000_c_16_1024_v2-nullvm_base,16,1000,509,712,1580,1,1,60,5,9,104,32,43,245
2020-01-20T22:10:16.213188282Z,240,18e45ee3_qps_1000_c_16_1024_v2-nullvm_both,16,1000,3178,3842,4375,1,4,60,236,376,104,33,43,245
2020-01-20T22:06:14.272831453Z,240,18e45ee3_qps_1000_c_16_1024_v2-nullvm_serveronly,16,1000,1594,2105,2957,1,2,60,184,290,104,33,44,245
2020-01-20T22:02:12.791147883Z,240,18e45ee3_qps_1000_c_8_1024_v2-nullvm_base,8,1000,400,523,835,1,3,60,5,8,103,33,50,245
2020-01-20T21:58:11.710288243Z,240,18e45ee3_qps_1000_c_8_1024_v2-nullvm_both,8,1000,1758,2152,2483,1,5,60,251,314,103,35,39,245
2020-01-20T21:54:08.190777209Z,240,18e45ee3_qps_1000_c_8_1024_v2-nullvm_serveronly,8,1000,1021,1352,1701,1,2,60,187,229,103,31,38,245
2020-01-20T21:50:07.095333065Z,240,18e45ee3_qps_1000_c_4_1024_v2-nullvm_base,4,1000,325,421,658,1,2,60,5,9,103,32,40,245
2020-01-20T21:46:06.000749229Z,240,18e45ee3_qps_1000_c_4_1024_v2-nullvm_both,4,1000,1204,1475,1741,1,4,60,246,425,103,31,43,245
2020-01-20T21:42:03.837947793Z,240,18e45ee3_qps_1000_c_4_1024_v2-nullvm_serveronly,4,1000,759,985,1243,1,4,60,231,458,103,30,38,245
2020-01-20T21:38:02.447837982Z,240,18e45ee3_qps_1000_c_2_1024_v2-nullvm_base,2,1000,278,355,584,1,2,60,4,7,102,31,39,245
2020-01-20T21:34:00.384308494Z,240,18e45ee3_qps_1000_c_2_1024_v2-nullvm_both,2,1000,1062,1225,1456,1,2,60,325,523,102,31,49,245
2020-01-20T21:29:58.472214756Z,240,18e45ee3_qps_1000_c_2_1024_v2-nullvm_serveronly,2,1000,646,840,1070,1,3,60,233,283,102,31,58,245
2020-01-20T21:25:56.975780443Z,240,18e45ee3_qps_1000_c_1_1024_v2-nullvm_base,1,1000,236,292,396,1,4,60,5,8,102,31,44,245
2020-01-20T21:21:55.733073302Z,240,18e45ee3_qps_1000_c_1_1024_v2-nullvm_both,1,1000,843,974,1213,1,2,60,297,388,102,33,44,245
2020-01-20T21:17:53.707423497Z,240,18e45ee3_qps_1000_c_1_1024_v2-nullvm_serveronly,1,1000,517,618,746,1,3,60,267,537,102,33,46,245
2020-01-20T19:38:12.897098031Z,240,205e8b3e_qps_1000_c_64_1024_mixer_base,64,1000,861,2731,4000,1,3,60,5,7,108,33,45,242
2020-01-20T19:34:10.877371613Z,240,205e8b3e_qps_1000_c_64_1024_mixer_both,64,1000,6771,8620,9857,1,2,60,126,167,108,33,37,242
2020-01-20T19:30:09.512563702Z,240,205e8b3e_qps_1000_c_64_1024_mixer_serveronly,64,1000,3046,4496,5969,1,3,60,96,124,108,32,47,242
2020-01-20T19:26:08.287587267Z,240,205e8b3e_qps_1000_c_32_1024_mixer_base,32,1000,669,1679,2965,1,1,60,5,8,107,32,37,242
2020-01-20T19:22:06.206103101Z,240,205e8b3e_qps_1000_c_32_1024_mixer_both,32,1000,3294,4190,4993,1,5,60,153,232,107,33,46,242
2020-01-20T19:18:05.029864954Z,240,205e8b3e_qps_1000_c_32_1024_mixer_serveronly,32,1000,1853,2652,3978,1,2,60,117,209,107,32,42,242
2020-01-20T19:14:03.76449724Z,240,205e8b3e_qps_1000_c_16_1024_mixer_base,16,1000,501,693,1574,1,2,60,5,9,107,33,44,242
2020-01-20T19:10:01.295351083Z,240,205e8b3e_qps_1000_c_16_1024_mixer_both,16,1000,2266,2822,3377,1,2,60,151,211,107,32,43,242
2020-01-20T19:06:00.119357349Z,240,205e8b3e_qps_1000_c_16_1024_mixer_serveronly,16,1000,1204,1635,2237,1,2,60,112,154,107,33,42,242
2020-01-20T19:01:59.029458711Z,240,205e8b3e_qps_1000_c_8_1024_mixer_base,8,1000,394,519,853,1,4,60,4,7,107,33,48,242
2020-01-20T18:57:56.877507202Z,240,205e8b3e_qps_1000_c_8_1024_mixer_both,8,1000,1287,1632,1983,1,4,60,163,211,107,31,49,242
2020-01-20T18:53:55.786255909Z,240,205e8b3e_qps_1000_c_8_1024_mixer_serveronly,8,1000,827,1149,1472,1,3,60,130,246,107,34,43,242
2020-01-20T18:49:54.717631745Z,240,205e8b3e_qps_1000_c_4_1024_mixer_base,4,1000,330,430,678,1,3,60,4,7,107,33,52,242
2020-01-20T18:45:52.720271381Z,240,205e8b3e_qps_1000_c_4_1024_mixer_both,4,1000,962,1214,1473,1,4,60,184,310,107,32,51,242
2020-01-20T18:41:49.86705374Z,240,205e8b3e_qps_1000_c_4_1024_mixer_serveronly,4,1000,605,804,1064,1,2,60,153,305,107,33,43,242
2020-01-20T18:37:48.785282661Z,240,205e8b3e_qps_1000_c_2_1024_mixer_base,2,1000,280,361,578,1,3,60,4,7,107,33,41,242
2020-01-20T18:33:46.540679844Z,240,205e8b3e_qps_1000_c_2_1024_mixer_both,2,1000,756,898,1188,1,2,60,225,293,107,31,41,242
2020-01-20T18:29:45.353228807Z,240,205e8b3e_qps_1000_c_2_1024_mixer_serveronly,2,1000,484,602,789,1,5,60,198,267,106,31,45,242
2020-01-20T18:25:44.272665787Z,240,205e8b3e_qps_1000_c_1_1024_mixer_base,1,1000,243,296,362,1,3,60,5,8,106,34,47,242
2020-01-20T18:21:42.277957703Z,240,205e8b3e_qps_1000_c_1_1024_mixer_both,1,1000,684,798,956,1,3,60,224,437,106,32,42,242
2020-01-20T18:17:40.931779142Z,240,205e8b3e_qps_1000_c_1_1024_mixer_serveronly,1,1000,431,528,664,1,3,60,194,404,106,31,43,242
2020-01-20T16:20:23.531845679Z,240,9372bb77_qps_1000_c_64_1024_mixer_base,64,1000,876,2795,4143,1,3,60,5,7,113,34,48,240
2020-01-20T16:16:22.378472748Z,240,9372bb77_qps_1000_c_64_1024_mixer_both,64,1000,9661,14653,18472,931,1604,60,295,559,113,33,49,240
2020-01-20T16:12:19.795233195Z,240,9372bb77_qps_1000_c_64_1024_mixer_serveronly,64,1000,4797,8134,10680,480,913,60,197,293,112,32,44,240
2020-01-20T16:08:18.574249777Z,240,9372bb77_qps_1000_c_32_1024_mixer_base,32,1000,684,1648,2939,1,3,60,5,7,111,33,45,240
2020-01-20T16:04:17.471833315Z,240,9372bb77_qps_1000_c_32_1024_mixer_both,32,1000,5389,9169,12123,943,1651,60,277,347,111,31,47,240
2020-01-20T16:00:15.398505646Z,240,9372bb77_qps_1000_c_32_1024_mixer_serveronly,32,1000,2722,5293,6980,421,679,60,191,341,110,34,43,240
2020-01-20T15:56:14.254091539Z,240,9372bb77_qps_1000_c_16_1024_mixer_base,16,1000,520,701,1415,1,3,60,5,7,110,33,39,240
2020-01-20T15:52:10.777636172Z,240,9372bb77_qps_1000_c_16_1024_mixer_both,16,1000,3050,5441,7823,961,1758,60,285,600,109,31,36,240
2020-01-20T15:48:08.188067714Z,240,9372bb77_qps_1000_c_16_1024_mixer_serveronly,16,1000,1572,2088,5517,428,994,60,211,276,109,32,37,240
2020-01-20T15:44:07.056168924Z,240,9372bb77_qps_1000_c_8_1024_mixer_base,8,1000,413,542,844,1,3,60,5,7,109,35,56,240
2020-01-20T15:40:05.894452975Z,240,9372bb77_qps_1000_c_8_1024_mixer_both,8,1000,1967,2561,5952,997,1650,60,307,519,109,34,47,240
2020-01-20T15:36:03.977382703Z,240,9372bb77_qps_1000_c_8_1024_mixer_serveronly,8,1000,876,1193,3529,454,582,60,202,425,109,33,40,240
2020-01-20T15:32:02.885245554Z,240,9372bb77_qps_1000_c_4_1024_mixer_base,4,1000,332,443,671,3,16,60,5,6,108,32,44,240
2020-01-20T15:28:01.657880253Z,240,9372bb77_qps_1000_c_4_1024_mixer_both,4,1000,1176,1460,4851,901,1177,58,332,487,108,31,40,240
2020-01-20T15:23:59.030812827Z,240,9372bb77_qps_1000_c_4_1024_mixer_serveronly,4,1000,781,1017,3132,466,688,50,194,323,107,34,50,240
2020-01-20T15:19:57.924035016Z,240,9372bb77_qps_1000_c_2_1024_mixer_base,2,1000,273,371,569,1,3,50,5,6,107,33,44,240
2020-01-20T15:15:56.847999499Z,240,9372bb77_qps_1000_c_2_1024_mixer_both,2,1000,1014,1222,3983,986,1352,50,360,657,107,32,52,240
2020-01-20T15:11:54.793347139Z,240,9372bb77_qps_1000_c_2_1024_mixer_serveronly,2,1000,568,772,2576,471,806,50,225,303,105,31,38,240
2020-01-20T15:07:53.746200096Z,240,9372bb77_qps_1000_c_1_1024_mixer_base,1,1000,229,279,344,1,8,50,4,7,105,31,47,240
2020-01-20T15:03:52.672068649Z,240,9372bb77_qps_1000_c_1_1024_mixer_both,1,1000,838,969,4509,923,1693,50,319,437,104,30,42,240
2020-01-20T14:59:50.771877637Z,240,9372bb77_qps_1000_c_1_1024_mixer_serveronly,1,1000,455,533,2028,448,610,50,247,418,103,32,47,240
