StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,cpu_mili_avg_telemetry_mixer,cpu_mili_max_telemetry_mixer,mem_MB_max_telemetry_mixer,cpu_mili_avg_fortioserver_deployment_proxy,cpu_mili_max_fortioserver_deployment_proxy,mem_MB_max_fortioserver_deployment_proxy,cpu_mili_avg_ingressgateway_proxy,cpu_mili_max_ingressgateway_proxy,mem_MB_max_ingressgateway_proxy
2019-11-11T23:52:13.766778557Z,240,5e7e1535_qps_1000_c_64_1024_v2-nullvm_base,64,1000,865,1224,2258,1,4,50,2,5,30,14,21,89
2019-11-11T23:48:10.758071599Z,240,5e7e1535_qps_1000_c_64_1024_v2-nullvm_both,64,1000,9198,12046,14319,1,2,50,206,272,30,15,18,89
2019-11-11T23:44:07.29066201Z,240,5e7e1535_qps_1000_c_64_1024_v2-nullvm_serveronly,64,1000,4841,6139,7540,1,2,50,165,248,29,15,22,89
2019-11-11T23:40:06.577116921Z,240,5e7e1535_qps_1000_c_32_1024_v2-nullvm_base,32,1000,766,972,1709,1,7,50,2,3,28,15,20,89
2019-11-11T23:36:03.61486681Z,240,5e7e1535_qps_1000_c_32_1024_v2-nullvm_both,32,1000,5493,6858,7934,1,4,50,236,370,28,15,21,89
2019-11-11T23:32:00.248033435Z,240,5e7e1535_qps_1000_c_32_1024_v2-nullvm_serveronly,32,1000,3076,3882,4522,1,4,48,172,268,27,15,20,89
2019-11-11T23:27:59.569794982Z,240,5e7e1535_qps_1000_c_16_1024_v2-nullvm_base,16,1000,685,848,1201,1,3,48,2,5,27,16,19,89
2019-11-11T23:23:56.596678195Z,240,5e7e1535_qps_1000_c_16_1024_v2-nullvm_both,16,1000,3694,4378,4953,1,3,48,264,381,27,16,21,89
2019-11-11T23:19:53.310132089Z,240,5e7e1535_qps_1000_c_16_1024_v2-nullvm_serveronly,16,1000,2126,2671,3065,1,2,48,185,260,26,16,20,89
2019-11-11T23:15:52.670615405Z,240,5e7e1535_qps_1000_c_8_1024_v2-nullvm_base,8,1000,550,686,896,1,2,48,2,3,26,17,22,89
2019-11-11T23:11:49.732532421Z,240,5e7e1535_qps_1000_c_8_1024_v2-nullvm_both,8,1000,2148,2627,3251,1,3,48,234,349,26,15,21,89
2019-11-11T23:07:46.437850967Z,240,5e7e1535_qps_1000_c_8_1024_v2-nullvm_serveronly,8,1000,1450,1760,2170,1,3,48,216,447,26,16,24,89
2019-11-11T23:03:43.78961507Z,240,5e7e1535_qps_1000_c_4_1024_v2-nullvm_base,4,1000,428,539,720,1,3,48,2,3,26,16,22,89
2019-11-11T22:59:40.821723976Z,240,5e7e1535_qps_1000_c_4_1024_v2-nullvm_both,4,1000,1682,2062,2580,1,2,48,305,495,26,16,24,89
2019-11-11T22:55:37.508386384Z,240,5e7e1535_qps_1000_c_4_1024_v2-nullvm_serveronly,4,1000,919,1187,1469,1,3,48,247,326,26,16,23,89
2019-11-11T22:51:36.874577036Z,240,5e7e1535_qps_1000_c_2_1024_v2-nullvm_base,2,1000,338,436,599,1,2,48,2,3,25,16,20,89
2019-11-11T22:47:33.952934411Z,240,5e7e1535_qps_1000_c_2_1024_v2-nullvm_both,2,1000,1260,1478,1740,1,2,48,361,478,25,17,24,89
2019-11-11T22:43:30.663785663Z,240,5e7e1535_qps_1000_c_2_1024_v2-nullvm_serveronly,2,1000,741,888,1165,1,3,48,253,407,25,17,20,89
2019-11-11T22:39:30.01965038Z,240,5e7e1535_qps_1000_c_1_1024_v2-nullvm_base,1,1000,294,367,468,1,2,48,2,3,25,18,24,89
2019-11-11T22:35:27.061975343Z,240,5e7e1535_qps_1000_c_1_1024_v2-nullvm_both,1,957,980,1200,1394,1,2,48,297,405,25,17,22,89
2019-11-11T22:31:23.755824599Z,240,5e7e1535_qps_1000_c_1_1024_v2-nullvm_serveronly,1,1000,610,736,886,1,3,48,285,458,24,16,23,89
2019-11-11T22:26:31.723877361Z,240,ed4254e6_qps_3000_c_16_1024_v2_nullvm_base,16,3000,545,689,1043,1,4,48,2,4,26,17,20,88
2019-11-11T22:22:31.059845813Z,240,ed4254e6_qps_3000_c_16_1024_v2_nullvm_both,16,3000,3145,3883,4556,1,3,48,688,1031,26,17,24,88
2019-11-11T22:18:30.04851768Z,240,ed4254e6_qps_3000_c_16_1024_v2_nullvm_serveronly,16,3000,1601,1995,2532,1,2,48,528,980,26,17,22,88
2019-11-11T22:14:29.387975493Z,240,ed4254e6_qps_2000_c_16_1024_v2_nullvm_base,16,2000,593,763,1164,1,3,48,3,6,26,16,21,88
2019-11-11T22:10:28.726500303Z,240,ed4254e6_qps_2000_c_16_1024_v2_nullvm_both,16,2000,3013,3718,4397,1,3,48,462,881,26,16,22,88
2019-11-11T22:06:27.609552901Z,240,ed4254e6_qps_2000_c_16_1024_v2_nullvm_serveronly,16,2000,1802,2252,2873,1,2,48,358,467,26,17,22,88
2019-11-11T22:02:24.881799733Z,240,ed4254e6_qps_1000_c_16_1024_v2_nullvm_base,16,1000,692,854,1218,1,2,48,2,3,26,17,26,88
2019-11-11T21:58:24.243031079Z,240,ed4254e6_qps_1000_c_16_1024_v2_nullvm_both,16,1000,3318,3926,4490,1,4,48,257,365,26,16,24,88
2019-11-11T21:54:23.216388008Z,240,ed4254e6_qps_1000_c_16_1024_v2_nullvm_serveronly,16,1000,2005,2435,2972,1,3,48,206,337,26,17,21,88
2019-11-11T21:50:22.55153847Z,240,ed4254e6_qps_500_c_16_1024_v2_nullvm_base,16,500,695,853,1199,1,2,48,2,5,26,17,24,88
2019-11-11T21:46:21.864083763Z,240,ed4254e6_qps_500_c_16_1024_v2_nullvm_both,16,500,3498,4175,4825,1,4,48,114,226,25,17,23,88
2019-11-11T21:42:20.848503999Z,240,ed4254e6_qps_500_c_16_1024_v2_nullvm_serveronly,16,500,2097,2475,2995,1,2,48,107,214,25,17,23,88
2019-11-11T21:38:20.198502829Z,240,ed4254e6_qps_100_c_16_1024_v2_nullvm_base,16,100,765,1112,1615,1,4,48,2,3,25,17,19,88
2019-11-11T21:34:19.53094236Z,240,ed4254e6_qps_100_c_16_1024_v2_nullvm_both,16,100,3532,4215,4952,1,3,48,28,56,25,17,28,88
2019-11-11T21:30:18.520330284Z,240,ed4254e6_qps_100_c_16_1024_v2_nullvm_serveronly,16,100,2895,3434,4215,1,3,48,19,25,25,15,18,88
2019-11-11T21:26:17.845761063Z,240,ed4254e6_qps_10_c_16_1024_v2_nullvm_base,16,10,853,1353,1729,1,4,48,3,5,25,15,22,88
2019-11-11T21:22:17.217767057Z,240,ed4254e6_qps_10_c_16_1024_v2_nullvm_both,16,10,3647,4468,5205,1,2,48,5,9,25,16,22,87
2019-11-11T21:18:16.169361291Z,240,ed4254e6_qps_10_c_16_1024_v2_nullvm_serveronly,16,10,2340,2945,4062,1,3,48,4,7,24,16,20,87
2019-11-11T21:13:31.783510114Z,240,deacc9ce_qps_1000_c_64_1024_nomixer_base,64,1000,878,1244,2363,1,2,48,3,5,28,16,19,86
2019-11-11T21:09:28.839222499Z,240,deacc9ce_qps_1000_c_64_1024_nomixer_both,64,1000,6384,7856,8984,1,3,48,151,253,28,16,18,86
2019-11-11T21:05:25.331299795Z,240,deacc9ce_qps_1000_c_64_1024_nomixer_serveronly,64,1000,4030,4975,5961,1,2,48,108,135,28,15,18,86
2019-11-11T21:01:22.667435516Z,240,deacc9ce_qps_1000_c_32_1024_nomixer_base,32,1000,795,998,1742,1,2,48,2,5,26,16,24,87
2019-11-11T20:57:19.767364864Z,240,deacc9ce_qps_1000_c_32_1024_nomixer_both,32,1000,3960,4827,5852,1,2,48,151,209,26,17,23,86
2019-11-11T20:53:16.384684947Z,240,deacc9ce_qps_1000_c_32_1024_nomixer_serveronly,32,1000,2176,2722,3356,1,4,48,114,155,26,16,22,86
2019-11-11T20:49:15.738952804Z,240,deacc9ce_qps_1000_c_16_1024_nomixer_base,16,1000,723,892,1395,1,3,48,2,4,26,18,23,86
2019-11-11T20:45:12.874535685Z,240,deacc9ce_qps_1000_c_16_1024_nomixer_both,16,1000,2587,3028,3716,1,2,48,190,284,26,17,23,86
2019-11-11T20:41:09.55640839Z,240,deacc9ce_qps_1000_c_16_1024_nomixer_serveronly,16,1000,1748,2135,2545,1,2,48,129,207,25,17,24,86
2019-11-11T20:37:08.915057901Z,240,deacc9ce_qps_1000_c_8_1024_nomixer_base,8,1000,615,763,982,1,2,48,2,4,25,17,22,86
2019-11-11T20:33:05.941168361Z,240,deacc9ce_qps_1000_c_8_1024_nomixer_both,8,1000,1748,2122,2495,1,2,48,225,418,25,17,24,86
2019-11-11T20:29:02.660201856Z,240,deacc9ce_qps_1000_c_8_1024_nomixer_serveronly,8,1000,1107,1372,1685,1,2,48,164,283,25,15,19,86
2019-11-11T20:25:02.02482958Z,240,deacc9ce_qps_1000_c_4_1024_nomixer_base,4,1000,445,574,828,1,2,48,2,4,25,16,20,86
2019-11-11T20:20:59.04330731Z,240,deacc9ce_qps_1000_c_4_1024_nomixer_both,4,1000,1461,1879,2440,1,4,48,175,202,25,17,23,86
2019-11-11T20:16:55.786507985Z,240,deacc9ce_qps_1000_c_4_1024_nomixer_serveronly,4,1000,791,974,1238,1,3,48,190,245,24,16,22,86
2019-11-11T20:12:55.166282181Z,240,deacc9ce_qps_1000_c_2_1024_nomixer_base,2,1000,358,453,653,1,3,48,2,3,24,17,22,86
2019-11-11T20:08:52.135784889Z,240,deacc9ce_qps_1000_c_2_1024_nomixer_both,2,1000,943,1180,1423,1,4,48,282,504,24,17,20,86
2019-11-11T20:04:48.945068273Z,240,deacc9ce_qps_1000_c_2_1024_nomixer_serveronly,2,1000,609,751,920,1,2,48,166,213,24,17,26,86
2019-11-11T20:00:46.328869492Z,240,deacc9ce_qps_1000_c_1_1024_nomixer_base,1,1000,297,373,479,1,3,48,2,3,24,16,19,86
2019-11-11T19:56:43.459203666Z,240,deacc9ce_qps_1000_c_1_1024_nomixer_both,1,1000,820,965,1214,1,2,48,249,484,24,17,24,86
2019-11-11T19:52:40.177966538Z,240,deacc9ce_qps_1000_c_1_1024_nomixer_serveronly,1,1000,513,620,764,1,3,48,201,356,23,16,19,86
2019-11-11T19:48:04.704812856Z,240,ef47db99_qps_3000_c_16_1024_nomixer_base,16,3000,527,675,998,1,3,48,2,3,31,15,21,86
2019-11-11T19:44:04.041162181Z,240,ef47db99_qps_3000_c_16_1024_nomixer_both,16,3000,2095,2514,2992,1,3,48,440,526,31,16,23,86
2019-11-11T19:40:03.058159476Z,240,ef47db99_qps_3000_c_16_1024_nomixer_serveronly,16,3000,1148,1471,1899,1,3,48,325,621,31,16,20,86
