StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,cpu_mili_avg_telemetry_mixer,cpu_mili_max_telemetry_mixer,mem_MB_max_telemetry_mixer,cpu_mili_avg_fortioserver_deployment_proxy,cpu_mili_max_fortioserver_deployment_proxy,mem_MB_max_fortioserver_deployment_proxy,cpu_mili_avg_ingressgateway_proxy,cpu_mili_max_ingressgateway_proxy,mem_MB_max_ingressgateway_proxy
2019-12-05T00:03:41.906047664Z,240,e2cf4f7e_qps_1000_c_64_1024_v2-nullvm_base,64,1000,782,2469,3682,1,2,57,2,3,51,32,42,227
2019-12-04T23:59:40.360202071Z,240,e2cf4f7e_qps_1000_c_64_1024_v2-nullvm_both,64,1000,8788,12074,14407,1,7,57,188,359,51,31,50,227
2019-12-04T23:55:39.45923651Z,240,e2cf4f7e_qps_1000_c_64_1024_v2-nullvm_serveronly,64,1000,4314,5695,6913,1,3,57,144,228,51,31,40,227
2019-12-04T23:51:38.668085239Z,240,e2cf4f7e_qps_1000_c_32_1024_v2-nullvm_base,32,1000,602,1609,2711,0,1,57,2,5,51,29,44,227
2019-12-04T23:47:36.240172Z,240,e2cf4f7e_qps_1000_c_32_1024_v2-nullvm_both,32,1000,4647,5823,6735,1,3,57,201,246,51,29,32,226
2019-12-04T23:43:35.43811735Z,240,e2cf4f7e_qps_1000_c_32_1024_v2-nullvm_serveronly,32,1000,2809,3726,4515,1,1,57,183,229,51,31,49,226
2019-12-04T23:39:34.718869776Z,240,e2cf4f7e_qps_1000_c_16_1024_v2-nullvm_base,16,1000,506,677,1404,1,4,57,3,4,51,31,44,226
2019-12-04T23:35:33.159373998Z,240,e2cf4f7e_qps_1000_c_16_1024_v2-nullvm_both,16,1000,3441,3981,4486,0,2,57,233,445,50,29,36,226
2019-12-04T23:31:32.335204858Z,240,e2cf4f7e_qps_1000_c_16_1024_v2-nullvm_serveronly,16,1000,1837,2273,2944,0,2,57,200,298,50,29,51,226
2019-12-04T23:27:31.612031064Z,240,e2cf4f7e_qps_1000_c_8_1024_v2-nullvm_base,8,1000,432,545,896,1,3,57,3,6,50,29,35,226
2019-12-04T23:23:30.028972022Z,240,e2cf4f7e_qps_1000_c_8_1024_v2-nullvm_both,8,1000,1845,2223,2692,1,2,57,292,515,50,30,41,226
2019-12-04T23:19:29.331918921Z,240,e2cf4f7e_qps_1000_c_8_1024_v2-nullvm_serveronly,8,1000,1335,1685,2037,0,2,57,235,427,50,33,45,226
2019-12-04T23:15:28.601304622Z,240,e2cf4f7e_qps_1000_c_4_1024_v2-nullvm_base,4,1000,451,632,988,1,4,57,3,6,50,36,57,226
2019-12-04T23:11:26.948473254Z,240,e2cf4f7e_qps_1000_c_4_1024_v2-nullvm_both,4,1000,2006,2387,2925,1,2,57,350,619,50,35,48,226
2019-12-04T23:07:26.186934476Z,240,e2cf4f7e_qps_1000_c_4_1024_v2-nullvm_serveronly,4,1000,998,1316,1638,1,2,57,329,694,50,33,53,226
2019-12-04T23:03:23.689406748Z,240,e2cf4f7e_qps_1000_c_2_1024_v2-nullvm_base,2,1000,307,398,690,1,3,57,2,3,50,31,39,226
2019-12-04T22:59:22.156584722Z,240,e2cf4f7e_qps_1000_c_2_1024_v2-nullvm_both,2,1000,982,1229,1492,1,4,57,259,574,50,30,37,226
2019-12-04T22:55:21.398542504Z,240,e2cf4f7e_qps_1000_c_2_1024_v2-nullvm_serveronly,2,1000,673,882,1197,1,2,57,234,465,50,28,35,225
2019-12-04T22:51:20.697199029Z,240,e2cf4f7e_qps_1000_c_1_1024_v2-nullvm_base,1,1000,232,288,391,1,4,57,2,3,50,30,37,225
2019-12-04T22:47:19.174179844Z,240,e2cf4f7e_qps_1000_c_1_1024_v2-nullvm_both,1,1000,813,950,1204,1,2,57,313,411,50,30,48,225
2019-12-04T22:43:18.446165345Z,240,e2cf4f7e_qps_1000_c_1_1024_v2-nullvm_serveronly,1,1000,508,629,793,1,3,57,282,503,50,30,41,225
2019-12-04T22:31:54.091086713Z,240,0f6a6857_qps_1000_c_64_1024_nomixer_base,64,1000,850,2731,4204,1,3,57,2,4,47,33,42,223
2019-12-04T22:27:53.333085392Z,240,0f6a6857_qps_1000_c_64_1024_nomixer_both,64,1000,5871,7567,8765,0,1,57,151,288,47,34,42,223
2019-12-04T22:23:51.604470242Z,240,0f6a6857_qps_1000_c_64_1024_nomixer_serveronly,64,1000,3282,4674,6356,1,3,57,106,203,46,35,52,223
2019-12-04T22:19:50.836771804Z,240,0f6a6857_qps_1000_c_32_1024_nomixer_base,32,1000,649,1629,2871,1,2,57,2,5,46,33,41,222
2019-12-04T22:15:50.046737654Z,240,0f6a6857_qps_1000_c_32_1024_nomixer_both,32,1000,3713,4498,5617,0,2,57,165,267,46,32,40,222
2019-12-04T22:11:48.246111527Z,240,0f6a6857_qps_1000_c_32_1024_nomixer_serveronly,32,1000,1947,2601,3757,1,2,57,113,191,46,32,46,222
2019-12-04T22:07:47.444355813Z,240,0f6a6857_qps_1000_c_16_1024_nomixer_base,16,1000,526,697,1420,0,2,57,2,5,46,33,42,222
2019-12-04T22:03:46.718700252Z,240,0f6a6857_qps_1000_c_16_1024_nomixer_both,16,1000,2230,2799,3299,1,7,57,176,231,46,31,40,222
2019-12-04T21:59:43.212230363Z,240,0f6a6857_qps_1000_c_16_1024_nomixer_serveronly,16,1000,1342,1708,2225,0,2,57,141,290,46,31,40,222
2019-12-04T21:55:42.465733906Z,240,0f6a6857_qps_1000_c_8_1024_nomixer_base,8,1000,446,569,945,0,2,57,2,7,46,31,46,222
2019-12-04T21:51:41.684882887Z,240,0f6a6857_qps_1000_c_8_1024_nomixer_both,8,1000,1629,1981,2354,0,2,57,210,287,46,31,45,222
2019-12-04T21:47:40.192164438Z,240,0f6a6857_qps_1000_c_8_1024_nomixer_serveronly,8,1000,1043,1374,1695,0,3,57,173,238,46,33,42,221
2019-12-04T21:43:39.392893834Z,240,0f6a6857_qps_1000_c_4_1024_nomixer_base,4,1000,367,469,790,1,4,57,2,4,46,32,43,221
2019-12-04T21:39:38.689657971Z,240,0f6a6857_qps_1000_c_4_1024_nomixer_both,4,1000,1078,1319,1597,0,1,57,244,425,46,29,36,221
2019-12-04T21:35:37.220612018Z,240,0f6a6857_qps_1000_c_4_1024_nomixer_serveronly,4,1000,748,979,1245,0,2,57,193,426,46,31,46,221
2019-12-04T21:31:36.40586807Z,240,0f6a6857_qps_1000_c_2_1024_nomixer_base,2,1000,310,395,696,1,3,57,2,3,45,31,42,221
2019-12-04T21:27:34.99517787Z,240,0f6a6857_qps_1000_c_2_1024_nomixer_both,2,1000,889,1072,1247,0,1,57,302,604,45,32,45,220
2019-12-04T21:23:33.518072428Z,240,0f6a6857_qps_1000_c_2_1024_nomixer_serveronly,2,1000,575,692,901,0,2,57,268,457,45,31,41,220
2019-12-04T21:19:32.748396488Z,240,0f6a6857_qps_1000_c_1_1024_nomixer_base,1,1000,265,332,434,0,2,57,2,5,45,31,41,220
2019-12-04T21:15:32.066162259Z,240,0f6a6857_qps_1000_c_1_1024_nomixer_both,1,1000,738,874,1086,0,2,57,253,509,45,29,45,220
2019-12-04T21:11:30.603965852Z,240,0f6a6857_qps_1000_c_1_1024_nomixer_serveronly,1,1000,490,615,780,0,2,57,236,380,45,30,44,220
2019-12-04T20:26:00.53287797Z,240,86e5eb92_qps_1000_c_64_1024_mixer_base,64,1000,731,2389,3525,0,2,57,2,4,53,27,37,217
2019-12-04T20:21:59.719644557Z,240,86e5eb92_qps_1000_c_64_1024_mixer_both,64,1000,10505,16031,19553,825,1155,57,261,451,53,30,38,217
2019-12-04T20:17:57.873217387Z,240,86e5eb92_qps_1000_c_64_1024_mixer_serveronly,64,1000,5168,8824,11441,388,842,57,201,404,51,32,45,217
2019-12-04T20:13:57.07833759Z,240,86e5eb92_qps_1000_c_32_1024_mixer_base,32,1000,601,1532,2621,2,7,57,2,3,50,30,40,217
2019-12-04T20:09:56.339516487Z,240,86e5eb92_qps_1000_c_32_1024_mixer_both,32,1000,5625,9800,12483,926,1146,57,296,486,50,31,44,216
2019-12-04T20:05:54.728103652Z,240,86e5eb92_qps_1000_c_32_1024_mixer_serveronly,32,1000,2747,5507,7003,398,538,57,195,356,49,33,48,216
2019-12-04T20:01:53.978528243Z,240,86e5eb92_qps_1000_c_16_1024_mixer_base,16,1000,473,627,1230,1,2,57,2,6,49,31,39,216
2019-12-04T19:57:53.261388193Z,240,86e5eb92_qps_1000_c_16_1024_mixer_both,16,1000,3244,6267,8574,914,1144,57,355,569,49,32,41,216
2019-12-04T19:53:51.571959242Z,240,86e5eb92_qps_1000_c_16_1024_mixer_serveronly,16,1000,1827,2343,5995,429,561,57,260,378,49,32,45,215
2019-12-04T19:49:49.119516512Z,240,86e5eb92_qps_1000_c_8_1024_mixer_base,8,1000,473,592,967,1,4,57,2,3,48,36,49,215
2019-12-04T19:45:48.408555705Z,240,86e5eb92_qps_1000_c_8_1024_mixer_both,8,1000,2582,3461,8452,974,1966,57,402,852,48,34,48,215
2019-12-04T19:41:46.8819147Z,240,86e5eb92_qps_1000_c_8_1024_mixer_serveronly,8,1000,1351,1731,5690,446,550,57,273,588,48,35,43,215
2019-12-04T19:37:46.190725807Z,240,86e5eb92_qps_1000_c_4_1024_mixer_base,4,1000,369,476,799,1,2,57,3,6,48,36,46,215
2019-12-04T19:33:45.459466078Z,240,86e5eb92_qps_1000_c_4_1024_mixer_both,4,1000,1202,1507,5354,912,1449,57,330,689,48,29,42,215
2019-12-04T19:29:43.951324781Z,240,86e5eb92_qps_1000_c_4_1024_mixer_serveronly,4,1000,829,1121,3959,431,546,57,215,285,47,30,42,215
2019-12-04T19:25:43.22815847Z,240,86e5eb92_qps_1000_c_2_1024_mixer_base,2,1000,265,343,550,1,2,56,2,4,47,29,42,213
2019-12-04T19:21:42.490286438Z,240,86e5eb92_qps_1000_c_2_1024_mixer_both,2,1000,945,1191,7056,937,1795,55,404,750,47,27,35,213
2019-12-04T19:17:40.966412776Z,240,86e5eb92_qps_1000_c_2_1024_mixer_serveronly,2,1000,597,795,3378,427,729,47,264,523,46,30,38,213
2019-12-04T19:13:40.239300352Z,240,86e5eb92_qps_1000_c_1_1024_mixer_base,1,1000,221,265,344,1,2,47,2,3,46,29,42,213
2019-12-04T19:09:39.360074538Z,240,86e5eb92_qps_1000_c_1_1024_mixer_both,1,1000,808,942,6000,895,1782,44,376,465,45,28,32,212
2019-12-04T19:05:37.746559984Z,240,86e5eb92_qps_1000_c_1_1024_mixer_serveronly,1,1000,465,562,3000,409,624,39,292,480,44,28,37,212
